,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,Яндекс Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307707741/,Москва,rent,flat,10,14,1,39.0,120000,0,Замоскворечье,Новокузнецкая ,13С1,Новокузнецкая
1,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307701685/,Москва,rent,flat,7,13,1,37.0,95000,0,Замоскворечье,Новокузнецкая ,13С1,Новокузнецкая
2,ID 72363091,realtor,https://www.cian.ru/rent/flat/307659322/,Москва,rent,flat,7,13,1,37.7,95000,0,Замоскворечье,Новокузнецкая ,13С1,Новокузнецкая
3,Диана Сейфуллаева,realtor,https://www.cian.ru/rent/flat/307575018/,Москва,rent,flat,9,14,1,42.0,95000,0,Замоскворечье,Новокузнецкая ,6,Новокузнецкая
4,YU HOME,real_estate_agent,https://www.cian.ru/rent/flat/306937091/,Москва,rent,flat,1,5,1,35.0,90000,0,Замоскворечье,Вишняковский переулок,6,Новокузнецкая
5,Яндекс Аренда,real_estate_agent,https://www.cian.ru/rent/flat/306928280/,Москва,rent,flat,1,5,1,31.0,103000,0,Замоскворечье,Вишняковский переулок,6,Новокузнецкая
6,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/306591432/,Москва,rent,flat,1,5,1,31.0,95000,0,Замоскворечье,Вишняковский переулок,6,Новокузнецкая
7,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/305778945/,Москва,rent,flat,1,5,1,32.0,90000,0,Замоскворечье,Вишняковский переулок,6,Новокузнецкая
8,ID 154071,unknown,https://www.cian.ru/rent/flat/302928342/,Москва,rent,flat,1,5,1,31.3,95000,0,Замоскворечье,Вишняковский переулок,6,Новокузнецкая
9,ID 15881,realtor,https://www.cian.ru/rent/flat/270928148/,Москва,rent,flat,11,14,1,43.0,90000,0,Замоскворечье,Новокузнецкая ,13С1,Новокузнецкая
10,Андрей Вокин,realtor,https://www.cian.ru/rent/flat/307647164/,Москва,rent,flat,7,8,1,35.0,65000,0,Хамовники,Новодевичий проезд,4,Спортивная
11,ID 23956980,realtor,https://www.cian.ru/rent/flat/307625261/,Москва,rent,flat,1,5,1,33.0,65000,0,Якиманка,2-й Добрынинский переулок,5/9,Добрынинская
12,Вартан Вартанян,realtor,https://www.cian.ru/rent/flat/307525401/,Москва,rent,flat,12,12,2,49.0,100000,0,Арбат,Староконюшенный переулок,30,Кропоткинская
13,ID 24419,real_estate_agent,https://www.cian.ru/rent/flat/307470965/,Москва,rent,flat,4,8,2,46.0,150000,0,Хамовники,переулок Сивцев Вражек,15/25,Кропоткинская
14,ID 8220,realtor,https://www.cian.ru/rent/flat/307541251/,Москва,rent,flat,2,14,1,39.0,60000,0,Замоскворечье,Люсиновская ,12,Серпуховская
15,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307537332/,Москва,rent,flat,2,4,1,35.0,110000,0,Тверской,Малый Гнездниковский переулок,10,Тверская
16,ID 18835544,official_representative,https://www.cian.ru/rent/flat/281664247/,Москва,rent,flat,5,12,2,80.0,1200000,0,Тверской, Охотный Ряд,2,Охотный ряд
17,ID 53162893,realtor,https://www.cian.ru/rent/flat/240605830/,Москва,rent,flat,5,9,1,32.5,66000,0,Якиманка,Донская ,17,Шаболовская
18,Maroom,real_estate_agent,https://www.cian.ru/rent/flat/307062999/,Москва,rent,flat,8,14,1,35.5,88000,0,Хамовники,Малая Пироговская ,27К1,Спортивная
19,ID 69392442,homeowner,https://www.cian.ru/rent/flat/251955241/,Москва,rent,flat,6,8,1,40.0,80000,0,Басманный, Земляной Вал,39/1С1,Чкаловская
20,ID 48976342,unknown,https://www.cian.ru/rent/flat/307046940/,Москва,rent,flat,3,5,2,42.0,85000,0,Тверской, Петровка,26С5,Трубная
21,ID 16276255,unknown,https://www.cian.ru/rent/flat/307538535/,Москва,rent,flat,3,4,1,45.0,128000,0,Басманный,Старосадский переулок,10С1,Китай-город
22,ID 40430859,homeowner,https://www.cian.ru/rent/flat/271620360/,Москва,rent,flat,6,16,2,54.0,89000,0,Даниловский,Большая Тульская ,2,Тульская
23,ID 121850326,homeowner,https://www.cian.ru/rent/flat/307407001/,Москва,rent,flat,2,10,2,50.0,95000,0,Даниловский,Люсиновская ,53,Серпуховская
24,ПАРТНЕР,real_estate_agent,https://www.cian.ru/rent/flat/307661928/,Москва,rent,flat,2,9,1,35.0,80000,0,Донской, Орджоникидзе,6/9,Ленинский проспект
