,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,Сити Недвижимость,real_estate_agent,https://www.cian.ru/rent/flat/307772323/,Москва,rent,flat,1,2,2,55.0,40000,0,, 2-я Апрельская,2,Толстопальцево
1,Михаил Кузьмин,realtor,https://odintsovo.cian.ru/rent/flat/307724391/,Москва,rent,flat,3,4,2,43.0,43000,0,МЖК Изумрудная Долина тер., Дюма,35,
2,Антон Осмелкин,realtor,https://www.cian.ru/rent/flat/307647761/,Москва,rent,flat,6,10,2,38.0,45000,0,, Усадебный Парк,1,Толстопальцево
3,Ольга Латышова,realtor,https://odintsovo.cian.ru/rent/flat/307361019/,Москва,rent,flat,2,12,2,60.0,55000,0,,,,
4,Сити Недвижимость,real_estate_agent,https://odintsovo.cian.ru/rent/flat/307224058/,Москва,rent,flat,1,1,2,45.0,38000,0,,,,
5,Яндекс Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307062946/,Москва,rent,flat,6,9,2,36.0,52500,0,,,1к9,Толстопальцево
6,ID 85240346,homeowner,https://odintsovo.cian.ru/rent/flat/306458114/,Москва,rent,flat,13,17,2,52.0,62000,0,,,,
7,Марина Белова,realtor,https://www.cian.ru/rent/flat/306402356/,Москва,rent,flat,9,9,2,36.0,50000,0,, Усадебный Парк,3,Толстопальцево
8,ID 29738035,unknown,https://odintsovo.cian.ru/rent/flat/304007012/,Москва,rent,flat,1,4,2,57.0,60000,0,МЖК Изумрудная Долина тер., Елисейская,14,
9,ID 13643867,unknown,https://odintsovo.cian.ru/rent/flat/263515334/,Москва,rent,flat,4,4,2,42.7,45000,0,с. Жаворонки, 30 лет Октября,9,
10,ID 231375,unknown,https://odintsovo.cian.ru/rent/flat/264425113/,Москва,rent,flat,7,19,1,46.0,40000,0,, Кутузовская,31,Сколково
11,Сергей Касперович,realtor,https://odintsovo.cian.ru/rent/flat/305648635/,Москва,rent,flat,4,17,-1,23.0,45000,0,Новоивановское рп, Западная,85,
12,ID 315895,realtor,https://odintsovo.cian.ru/rent/flat/307534112/,Москва,rent,flat,3,3,2,50.0,35000,0,,,,
13,ID 109107273,homeowner,https://odintsovo.cian.ru/rent/flat/307252823/,Москва,rent,flat,14,17,2,52.0,25000,0,, Триумфальная,4,Одинцово
14,ID 88810026,homeowner,https://odintsovo.cian.ru/rent/flat/304642524/,Москва,rent,flat,5,25,2,58.0,65000,0,,,4,Одинцово
15,Сити Недвижимость,real_estate_agent,https://odintsovo.cian.ru/rent/flat/307541371/,Москва,rent,flat,3,12,1,35.0,35000,0,, Маршала Неделина,7,Одинцово
16,Антон Самойлов,realtor,https://odintsovo.cian.ru/rent/flat/307579725/,Москва,rent,flat,9,9,2,40.0,41000,0,,Садовая ,12,Одинцово
17,EMPIRE HOME,real_estate_agent,https://odintsovo.cian.ru/rent/flat/303530009/,Москва,rent,flat,1,5,1,33.0,40000,0,,Садовая ,14,Одинцово
18,ID 16423394,homeowner,https://odintsovo.cian.ru/rent/flat/290816161/,Москва,rent,flat,4,24,1,39.0,50000,0,, Чистяковой,8,Сколково
19,Циан х ПИК-Аренда,real_estate_agent,https://odintsovo.cian.ru/rent/flat/307628162/,Москва,rent,flat,10,16,1,37.0,50600,0,,Советская ,1,Одинцово
20,ID 85560843,homeowner,https://odintsovo.cian.ru/rent/flat/289730168/,Москва,rent,flat,5,8,1,23.0,30000,0,,,,
21,ЖСС Недвижимость,real_estate_agent,https://odintsovo.cian.ru/rent/flat/306928839/,Москва,rent,flat,4,5,1,33.2,45000,0,Рублёво-Успенское шоссе,"Минское шоссе с платной трассой и другие. Также в пешей доступности находятся две ж/д станции — ""Жаворонки"" и ""Здравница"".





Арт. 73272560",,
22,ID 94186523,homeowner,https://odintsovo.cian.ru/rent/flat/307652068/,Москва,rent,flat,4,17,2,52.0,50000,0,с. Немчиновка, Связистов,6,
23,Геннадий Малолетников,realtor,https://odintsovo.cian.ru/rent/flat/307594317/,Москва,rent,flat,17,17,1,42.5,33000,0,пос. ВНИИССОК,Рябиновая ,3,
