,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,Яндекс Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307828090/,Москва,rent,flat,3,3,3,62.0,87000,0,, Черничная,57к1,Победа
1,Людмила Фадеева,realtor,https://aprelevka.cian.ru/rent/flat/307748565/,Москва,rent,flat,3,10,3,84.5,65000,0,, Дубки,9,Победа
2,ID 11281744,realtor,https://aprelevka.cian.ru/rent/flat/307701116/,Москва,rent,flat,13,16,3,82.0,65000,0,, Горького,25,Победа
3,ID 16486369,realtor,https://www.cian.ru/rent/flat/303442606/,Москва,rent,flat,2,5,3,62.0,43000,0,,,19,Победа
4,ID 41040929,homeowner,https://www.cian.ru/rent/flat/303044283/,Москва,rent,flat,10,14,3,59.3,60000,0,, Стожарова,5,Победа
5,ID 101096277,homeowner,https://www.cian.ru/rent/flat/285068953/,Москва,rent,flat,2,3,3,76.5,50000,0,, Борисоглебская Слобода,4к2,Победа
6,EMPIRE HOME,real_estate_agent,https://www.cian.ru/rent/flat/303061998/,Москва,rent,flat,1,9,2,38.0,25000,0,Проспект Вернадского, Лобачевского,40,Проспект Вернадского
7,ID 121240212,homeowner,https://www.cian.ru/rent/flat/306771725/,Москва,rent,flat,7,24,2,50.9,25000,0,Черемушки,Нахимовский проспект,31к3,Профсоюзная
8,ID 92569743,homeowner,https://www.cian.ru/rent/flat/307585469/,Москва,rent,flat,6,13,2,60.0,65000,0,, Летчика Грицевца,,Пыхтино
9,ID 119864602,homeowner,https://www.cian.ru/rent/flat/305411686/,Москва,rent,flat,2,5,2,45.0,44310,0,Коптево,4-й Новомихалковский проезд,7А,Лихоборы
10,Марина Белова,realtor,https://www.cian.ru/rent/flat/306402356/,Москва,rent,flat,9,9,2,36.0,50000,0,, Усадебный Парк,3,Филатов Луг
11,EMPIRE HOME,real_estate_agent,https://www.cian.ru/rent/flat/307584522/,Москва,rent,flat,9,9,3,60.0,60000,0,Ясенево,проезд Карамзина,1К3,Новоясеневская
12,Александр Бялик,realtor,https://www.cian.ru/rent/flat/307586691/,Москва,rent,flat,3,4,2,54.0,55000,0,, Жемчужная,1к2,Филатов Луг
13,СТОЛИЦА Департамент недвижимости,real_estate_agent,https://www.cian.ru/rent/flat/307497307/,Москва,rent,flat,2,3,3,81.0,45000,0,,,36,Филатов Луг
14,ID 287994,unknown,https://www.cian.ru/rent/flat/304543825/,Москва,rent,flat,3,3,1,42.0,45000,0,, Березовая,11к1,Филатов Луг
15,ID 99954688,homeowner,https://www.cian.ru/rent/flat/292895351/,Москва,rent,flat,4,4,2,37.0,60000,0,, Жемчужная,1к1,Филатов Луг
16,ID 74221236,homeowner,https://www.cian.ru/rent/flat/272438648/,Москва,rent,flat,4,4,2,90.0,54999,0,пос. Рогово, Березки,10к3,
17,ID 47707390,realtor,https://www.cian.ru/rent/flat/306552781/,Москва,rent,flat,2,5,2,56.0,35000,0,,,,
18,Анна Долгополова,realtor,https://www.cian.ru/rent/flat/307565443/,Москва,rent,flat,5,24,3,93.0,30000,0,Крылатское,Рублевское шоссе,70к6,Крылатское
19,ID 20284898,unknown,https://www.cian.ru/rent/flat/307697604/,Москва,rent,flat,10,12,3,62.7,55000,0,Бирюлево Восточное,Липецкая ,24К2,Царицыно
20,ID 99408691,homeowner,https://www.cian.ru/rent/flat/306423482/,Москва,rent,flat,8,14,2,36.6,48000,0,, Стожарова,11,Санино
21,ИНКОМ-Недвижимость. Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307577090/,Москва,rent,flat,8,9,3,75.0,60000,0,Южное Бутово,Южнобутовская ,84,Бунинская аллея
22,EMPIRE HOME,real_estate_agent,https://www.cian.ru/rent/flat/306693542/,Москва,rent,flat,13,18,3,83.0,30000,0,Бирюлево Восточное,6-я Радиальная ,7/6к3,Царицыно
23,ID 10772484,homeowner,https://www.cian.ru/rent/flat/307368191/,Москва,rent,flat,7,32,3,97.6,36000,0,Хорошево-Мневники,Причальный проезд,10к2,Шелепиха
